COMM_NAME,COMM_CODE,COMM_WT,Index:2012-13,Index:2013-14,Index:2014-15,Index:2015-16,Index:2016-17,Index:2017-18,Index:2018-19,Index:2019-20,Index:2020-21,Index:2021-22,Index:2022-23
Orange,1101020204,0.12653,110.8,108.15,110.05,112.5,124.45,123.55000000000001,111.19999999999999,111.15,166.8,221.55,231.6
Cashew nut,1101020205,0.06583,102.0,111.95,127.55,146.45,167.9,176.2,165.75,159.6,159.89999999999998,159.0,155.7
Coconut (Fresh),1101020206,0.07873,106.45,139.1,175.4,164.4,167.45,212.3,213.4,214.35000000000002,246.4,267.5,244.8
Papaya,1101020207,0.06368,70.65,72.35,70.35,72.45,70.19999999999999,70.85,75.65,82.5,102.05000000000001,126.89999999999999,145.8
Grapes,1101020208,0.04932,98.69999999999999,106.0,120.19999999999999,120.05,114.1,117.4,124.75,138.95,145.05,167.3,188.4
Pineapple,1101020209,0.03089,125.65,130.64999999999998,128.15,137.05,147.55,151.95,157.45,158.25,138.0,171.7,192.4
Guava,1101020210,0.0456,87.95,154.15,226.5,258.7,236.4,261.3,324.54999999999995,300.45000000000005,280.5,298.3,320.3
Litchi,1101020211,0.02955,139.85,151.6,167.25,178.0,174.8,146.60000000000002,130.75,129.6,127.1,172.45,218.2
Lemon,1101020212,0.06575,113.0,124.5,134.15,137.05,112.44999999999999,115.65,142.35000000000002,113.05,112.6,129.3,149.8
Sapota,1101020213,0.02814,113.7,114.25,110.4,106.05,108.6,130.95,153.45,154.2,155.7,186.3,216.0
Mosambi (Sweet Orange),1101020214,0.02521,103.6,109.15,114.05,124.7,131.6,118.0,139.8,148.35,155.5,166.0,174.7
Pomengranate,1101020215,0.02122,99.6,100.5,88.75,76.05000000000001,73.9,72.85,72.05000000000001,75.6,97.0,106.44999999999999,115.6
Amla,1101020216,0.01837,116.6,133.15,145.15,160.7,186.35,188.5,183.9,201.95,200.25,204.65,215.9
Jackfruit,1101020217,0.02458,138.95,124.25,130.05,135.55,190.3,181.8,121.0,128.7,139.0,129.1,131.6
Pear,1101020218,0.01001,79.55,112.75,139.45,141.15,146.39999999999998,130.8,132.05,126.95,122.8,120.05,131.3
Almonds,1101020219,0.02469,107.95,126.45,148.3,161.35,174.14999999999998,185.25,192.45,198.95,209.9,228.55,229.3
Walnut,1101020220,0.02599,128.45,152.4,167.05,167.55,178.2,182.3,185.55,204.8,221.25,234.85,244.1
c.  MILK,1101030000,4.43999,110.4,120.2,128.3,131.9,136.4,141.1,144.05,149.45,154.60000000000002,160.45,167.8
Milk,1101030001,4.43999,110.4,120.2,128.3,131.9,136.4,141.1,144.05,149.45,154.60000000000002,160.45,167.8
"d.  EGGS,MEAT & FISH",1101040000,2.40156,118.5,128.3,130.1,132.5,134.4,135.85,141.4,148.8,155.8,166.95,170.6
Egg,1101040001,0.23264,114.3,123.4,123.6,129.45,133.60000000000002,137.8,140.85,143.2,159.25,176.1,168.7
Fish-Inland,1101040002,0.525,124.6,138.05,137.4,140.55,141.3,143.2,148.85,150.6,143.2,158.7,170.1
Fish-Marine,1101040003,0.42182,116.65,122.25,127.6,125.94999999999999,119.65,126.5,138.45,149.8,153.25,167.95,178.1
Mutton,1101040004,0.44094,114.05000000000001,123.6,132.0,134.60000000000002,132.95,131.9,130.3,140.3,164.5,175.3,181.8
Beef and Buffalo Meat,1101040005,0.16159,106.6,115.95,119.55,123.1,134.8,148.45,152.9,160.55,164.85,160.55,156.9
Poultry Chicken,1101040006,0.55906,123.89999999999999,133.75,130.35,132.75,140.25,134.39999999999998,141.1,149.3,154.65,162.35,158.8
Pork,1101040007,0.06051,109.45,120.1,122.69999999999999,127.9,135.25,137.75,151.89999999999998,174.35000000000002,192.35,193.55,194.8
e.  CONDIMENTS & SPICES,1101050000,0.52885,92.75,109.6,127.85,140.65,133.5,127.75,133.75,146.65,152.25,170.65,187.2
Black Pepper,1101050001,0.02098,131.39999999999998,158.25,183.15,185.6,175.8,148.85,133.35,125.94999999999999,130.45,156.85000000000002,166.1
Chillies (Dry),1101050002,0.14056,87.25,100.05000000000001,116.4,135.5,123.39999999999999,120.0,129.05,151.0,158.35000000000002,193.65,233.4
Turmeric,1101050003,0.10015,89.65,104.35,114.6,121.0,116.94999999999999,120.75,116.45,113.8,118.8,121.5,116.1
Cardamom,1101050004,0.01434,106.1,108.35,123.94999999999999,126.44999999999999,137.7,128.45,149.7,175.14999999999998,141.14999999999998,119.65,117.2
Ginger (Dry),1101050005,0.02098,104.4,152.25,164.5,150.75,126.8,125.3,168.10000000000002,206.35000000000002,207.25,242.6,260.2
Betelnut/Arecanut,1101050006,0.08487,106.05000000000001,124.35,161.14999999999998,174.25,165.85,177.65,189.8,200.7,235.05,265.3,269.2
Cumin,1101050007,0.06256,102.15,96.95,98.69999999999999,113.05,127.8,130.3,124.19999999999999,114.75,103.55,126.55000000000001,168.4
Garlic,1101050008,0.05323,48.75,80.45,109.19999999999999,143.6,127.0,62.949999999999996,72.0,117.8,103.75,75.0,64.5
Coriander,1101050009,0.02154,119.0,164.9,187.5,175.35000000000002,145.0,129.2,144.0,157.14999999999998,174.25,230.45000000000002,271.3
